gene,t_stat,p_value,p_adj,significant,log2FC,regulation
TNXB,-18.45631986697734,5.7379598271130125e-24,3.8200527513616447e-22,True,-4.945883926903739,DOWN
KCNT2,-18.453807350120663,5.772216306076828e-24,3.8200527513616447e-22,True,-3.4199725234963845,DOWN
VAMP2,-18.415400610043775,6.322540610856891e-24,4.1675870281524807e-22,True,-1.6433301802696505,DOWN
TRIP13,18.409328790945057,6.4143061895328054e-24,4.211297456580169e-22,True,3.6398275792683705,UP
KIF18B,18.40696613057362,6.450379031336575e-24,4.2182419396625943e-22,True,4.521824551913456,UP
CYB5A,-18.39584514205108,6.622964782535746e-24,4.314053241222595e-22,True,-2.3968628862154535,DOWN
CD5L,-18.389652793384084,6.721091761699978e-24,4.360802478326515e-22,True,-4.184176591336754,DOWN
ITGA8,-18.367093648221815,7.091254821136133e-24,4.565167743801452e-22,True,-3.713496237659272,DOWN
FRMD3,-18.36711631141354,7.090872728614215e-24,4.565167743801452e-22,True,-2.8206085594010943,DOWN
SKA3,18.354272673864735,7.310803867721282e-24,4.688265503544521e-22,True,3.558870920502075,UP
CDCA2,18.352230994392006,7.346398848140226e-24,4.692902275771429e-22,True,3.6236783066674008,UP
FAM131C,18.33618809973735,7.632299337202551e-24,4.855677852107224e-22,True,3.9580591354603243,UP
CYP4B1,-18.33467131857411,7.659908851012301e-24,4.855677852107224e-22,True,-6.3335212318347205,DOWN
PDK4,-18.33273288210861,7.695341560369027e-24,4.859520080775021e-22,True,-4.53664797717152,DOWN
CEP55,18.3203641375679,7.925389730379426e-24,4.985763235328046e-22,True,3.9886022153865266,UP
