gene,log2FC,p_adj,category
ARHGAP31,-2.7202185230157463,6.7118317084923845e-22,Downregulated
TIMELESS,2.154310286404373,6.784039995923111e-22,Upregulated
SRD5A1,2.279612482474228,6.916478890282719e-22,Upregulated
RANGAP1,1.2229407166308253,6.938840912282833e-22,Upregulated
DEPDC1,3.989762796945443,6.9869964609510495e-22,Upregulated
AGRP,-4.691842916896034,7.046735076209385e-22,Downregulated
FAXDC2,-3.3347083557656347,7.057890066958164e-22,Downregulated
F12,3.606386349822863,7.064099093485551e-22,Upregulated
CACNA2D2,-5.315336058034054,7.099682835803897e-22,Downregulated
OIP5,3.4576360990480897,7.360419166437925e-22,Upregulated
DSP,3.8980372480727583,7.621300944220578e-22,Upregulated
SERTM1,-5.185335102904346,7.719493386416687e-22,Downregulated
SCN7A,-4.9213057683911146,7.842687226193705e-22,Downregulated
RAMP3,-3.671960770846307,7.864162499220772e-22,Downregulated
SLC19A3,-4.040746328826842,8.111590159977353e-22,Downregulated
PDE1C,-3.0676078812686582,8.18572184791105e-22,Downregulated
OTX1,4.297862685632577,8.18572184791105e-22,Upregulated
TOP2A,4.43040241612873,8.18572184791105e-22,Upregulated
FGFR4,-3.80393428543441,8.206032240609259e-22,Downregulated
NMUR1,-3.733139690757804,8.206032240609259e-22,Downregulated
COX4I2,-3.323336554100392,8.224785065374845e-22,Downregulated
LPL,-4.181591602680962,8.709850279169126e-22,Downregulated
GPR133,-4.249363994611024,9.046525723686542e-22,Downregulated
TENC1,-2.467057412680969,9.064532091574448e-22,Downregulated
CTD-3214H19.16,-5.0000104415364985,9.074245664159255e-22,Downregulated
DPEP2,-3.483548972278892,9.294602081334632e-22,Downregulated
GSTM5,-3.3420103360368945,9.32417246932652e-22,Downregulated
SCARA5,-4.912842487639983,9.53753476628287e-22,Downregulated
AATK,-3.406322594653285,9.64237666535467e-22,Downregulated
ABCA9,-2.72029726611054,9.850238582412325e-22,Downregulated
MCM4,2.665482330749648,9.942445305261013e-22,Upregulated
TACC3,1.7788209219079612,1.0056291314920165e-21,Upregulated
HBA1,-5.283336633907954,1.0077501409860053e-21,Downregulated
NLRC4,-3.028693229070885,1.0095078573287012e-21,Downregulated
NDNF,-5.1031802438690566,1.0185337732581672e-21,Downregulated
AGBL1,-2.6775857335540136,1.0868642355782689e-21,Downregulated
CCM2L,-2.866670642438047,1.1129262519735337e-21,Downregulated
BRIP1,3.120433504713593,1.1481565561085816e-21,Upregulated
CSRNP1,-3.198434310343833,1.2411676725692245e-21,Downregulated
RSPO1,-3.9179487744653136,1.2804571815636813e-21,Downregulated
GIMAP6,-3.158634391147408,1.2898085923969554e-21,Downregulated
LMO7,-2.69941289364467,1.325549975721342e-21,Downregulated
PREX2,-3.242940928208438,1.3304630502571554e-21,Downregulated
RANBP1,1.5460786517475924,1.3521321943823808e-21,Upregulated
TPK1,-1.699415774053394,1.3577347516260022e-21,Downregulated
GRASP,-2.7686263410611467,1.3657935433029713e-21,Downregulated
BTNL8,-3.330946098834354,1.4160167814295441e-21,Downregulated
PTTG1,2.733922455778032,1.4258417363488366e-21,Upregulated
WDR62,2.5990239063720466,1.4258417363488366e-21,Upregulated
NCAPG,3.65057119692908,1.4341184611194925e-21,Upregulated
NEIL3,3.5948457050388343,1.4497656917073238e-21,Upregulated
KANK2,-2.5429424559860383,1.4500309630988877e-21,Downregulated
DQX1,4.161265357428425,1.4500309630988877e-21,Upregulated
PERP,2.9147041178043605,1.4878223697519169e-21,Upregulated
SYNE1,-2.9362819338717445,1.490780342212458e-21,Downregulated
FBLN5,-3.174706557907193,1.518326505538002e-21,Downregulated
CENPL,1.7968783887662534,1.5787064177091525e-21,Upregulated
CCNE1,3.4986521210368684,1.6070681763124417e-21,Upregulated
FOXF1,-3.2455117314680137,1.6070681763124417e-21,Downregulated
ANGPT4,-3.787083521056456,1.6070681763124417e-21,Downregulated
C1orf167,-3.819614923590756,1.6082647944117617e-21,Downregulated
HPCAL1,-1.851567570053394,1.7127185285704267e-21,Downregulated
MKI67,3.762306611234191,1.7148740669764434e-21,Upregulated
TNFSF13,-2.4799991971440605,1.7320686592152686e-21,Downregulated
NCAPG2,2.064899896495686,1.7434593077587785e-21,Upregulated
AK4,3.221389515640971,1.7483697572786987e-21,Upregulated
MCM7,1.6066650687157438,1.7483697572786987e-21,Upregulated
PRR11,2.85901880207509,1.7730574786413707e-21,Upregulated
LRRN4,-5.000516312238672,1.8075929304038478e-21,Downregulated
SLC6A4,-6.350480395437796,1.81056058289632e-21,Downregulated
CDC25A,3.0727131433334054,1.820203556215264e-21,Upregulated
AURKA,2.9986444443637765,1.8311923955912003e-21,Upregulated
GGTLC2,-4.263975529931784,1.8373368089166104e-21,Downregulated
MCM10,3.962307914657396,1.8373368089166104e-21,Upregulated
LMOD3,-2.3556429908025334,1.8551673677239488e-21,Downregulated
AURKB,4.094529243056773,2.010079950284577e-21,Upregulated
LMNB2,1.884308884194437,2.1656141291127103e-21,Upregulated
CCRL2,-2.771761584820286,2.3278472679873386e-21,Downregulated
CENPW,2.607645819810492,2.3278472679873386e-21,Upregulated
UCK2,2.2899996073520867,2.3278472679873386e-21,Upregulated
GP9,-4.029799574664926,2.3524339007096023e-21,Downregulated
P2RY14,-2.8934641820086693,2.413117605805956e-21,Downregulated
MLF1IP,2.969222516609097,2.509072831204075e-21,Upregulated
LMBRD1,-1.1464708658760865,2.509072831204075e-21,Downregulated
SGOL1,3.386268412598029,2.509072831204075e-21,Upregulated
SULT1A2,-3.802934544990639,2.5394846696679437e-21,Downregulated
SELENBP1,-4.33313582000547,2.585482974131223e-21,Downregulated
KCNK3,-4.600804819839556,2.715726272821316e-21,Downregulated
MTL5,3.27799502618932,2.716881630029164e-21,Upregulated
PLA2G1B,-6.62222432087445,2.716881630029164e-21,Downregulated
APOH,-5.407017850106996,2.716881630029164e-21,Downregulated
